Table B-5 Characteristics of Existing 110 kV Lines and Cables,,,,,,,,
110 kV Circuits,,,Length (km),Impedance p.u. on 100 MVA,,,Rating (MVA),
From,To,No.,,R,X,B,Summer,Winter
AA,DRU,1,18.4,0.029,0.067,0.006,107,126
AA,ENN,1,33,0.051,0.117,0.011,107,126
AA,KLN,1,9.5,0.006,0.031,0.003,107,223
AA,LIM,1,11.7,0.014,0.038,0.012,107,126
AD,WHI,1,3.1,0.005,0.011,0.001,107,126
AGL,DYN,1,8,0.013,0.028,0.003,107,126
AGL,ENN,1,38.2,0.059,0.131,0.012,107,126
AGL,SH,1,46.2,0.072,0.159,0.015,107,126
AHA,KLN,1,3.8,0.004,0.012,0.004,115,115
ANR,DOO,1,2,0.003,0.007,0.001,107,126
ARI,ARI T,1,0.2,0,0.001,0,107,126
ARK,BEG,1,21.9,0.01,0.079,0.007,137,164
ARK,CRA,1,41.8,0.064,0.144,0.013,107,126
ARK,SHE,1,2.2,0.004,0.008,0.001,34,57
ARK,SHE,2,2.2,0.004,0.008,0.001,72,103
ARV,COS,1,41.4,0.064,0.142,0.013,107,126
ARV,GWE,1,30.6,0.037,0.103,0.01,107,126
ARV,NAV,1,60.6,0.086,0.207,0.02,69,118
ARV,SKL,1,18.6,0.029,0.065,0.006,86,111
ATH,LA,1,35.7,0.054,0.123,0.012,107,126
ATH,SH,1,21.6,0.022,0.072,0.009,93,131
AUG,CFM,1,0.7,0.001,0.002,0.001,96,96
AUG,CFM,2,0.7,0.001,0.002,0.001,96,96
AUG,MTN,1,27.5,0.017,0.089,0.01,187,223
AUG,SK,3,1,0.001,0.001,0.006,120,120
AUG,SK,4,1,0.001,0.001,0.006,120,120
AUG,TB,1,34,0.021,0.111,0.012,187,223
BAN,BRI,1,2.6,0.004,0.009,0.001,107,126
BAN,BRI,2,2.5,0.004,0.009,0.001,107,126
BAN,DMY,1,25.9,0.04,0.089,0.008,107,126
BAN,RAF,1,26.9,0.041,0.091,0.012,107,126
BAR,BAR T,1,0.3,0.001,0.001,0,107,126
BDN,CUL,1,21.8,0.034,0.075,0.007,107,126
BDN,DOO,1,11.3,0.018,0.039,0.004,107,126
BEG,CKM,1,32.3,0.015,0.116,0.01,137,164
BIN,CF,1,34.3,0.053,0.118,0.011,107,126
BK,CBR,1,37.4,0.058,0.128,0.013,107,126
BK,MOY,1,27.2,0.042,0.097,0.009,107,126
BLI,DMY,1,27.6,0.043,0.094,0.01,107,126
BLK,BLK T,1,0.5,0.001,0.002,0,137,164
BOL,ENN,1,24,0.037,0.083,0.008,107,126
BOL,TBK T,1,19.6,0.031,0.067,0.006,107,126
BRY,RAF,1,1.7,0.003,0.006,0.001,72,103
BRY,RAF,2,1.8,0.002,0.006,0.001,107,126
BUT,CUL,1,11.6,0.018,0.04,0.004,107,126
BUT,KTN,1,2.7,0.004,0.009,0.001,107,126
BWR,CRA,1,21.9,0.011,0.03,0.137,116,116
CAH,BAR T,1,44.2,0.066,0.152,0.014,107,126
CAH,DOO,1,16,0.025,0.055,0.005,107,126
CAH,THU,1,39,0.041,0.13,0.013,137,164
CAH,TIP,1,27,0.042,0.093,0.009,107,126
CBR,CLN,1,57.7,0.09,0.198,0.02,107,126
CBR,DLT,1,27.8,0.043,0.096,0.009,107,126
CD,KBY,1,33.6,0.052,0.116,0.011,107,126
CD,MAC,1,1,0.002,0.004,0,107,126
CDU,DRY,1,35.9,0.023,0.117,0.013,187,223
CDU,MCE,1,4.1,0.003,0.01,0.016,111,143
CDU,MUL,1,73.3,0.088,0.237,0.041,107,126
CDU,PLA,1,37,0.054,0.126,0.012,107,126
CDU,RYB,1,18.3,0.017,0.059,0.023,111,128
CDY,ARI T,1,17,0.018,0.057,0.006,137,164
CDY,CF,1,39,0.051,0.133,0.013,107,126
CF,CL,1,5.5,0.006,0.018,0.002,137,164
CF,COR,1,61.3,0.064,0.205,0.021,107,126
CF,DRM,1,51.3,0.077,0.176,0.017,107,126
CF,GOL T,1,25.5,0.04,0.088,0.008,107,126
CF,SLI,1,57.8,0.079,0.197,0.019,107,126
CHA,GLE,1,30,0.047,0.103,0.01,107,126
CHA,KLN,1,36.9,0.057,0.127,0.012,72,103
CHA,MAL,1,22.5,0.035,0.077,0.007,72,103
CKM,FAS,1,7.5,0.011,0.026,0.003,107,126
CKM,FAS,2,7.5,0.012,0.026,0.002,107,126
CKN,CGL,1,6.3,0.004,0.021,0.002,187,223
CKN,KER,1,19.9,0.031,0.069,0.006,107,126
CLA,CKN,1,29.6,0.046,0.102,0.01,107,126
CLA,MAC,1,5.7,0.004,0.018,0.002,187,223
CLN,LA,1,64.6,0.075,0.221,0.022,107,126
CLW,KLS,1,5.4,0.008,0.019,0.002,107,126
CLW,KLS,2,5.3,0.008,0.019,0.002,107,126
CLW,PLS,1,40.6,0.063,0.14,0.013,107,126
CLW,STR T,1,17.6,0.027,0.061,0.006,107,126
COL,FIN,1,4.9,0.003,0.013,0.037,120,141
COR,EKN,1,27.5,0.043,0.095,0.009,107,126
COR,GWE,1,10.9,0.015,0.037,0.004,107,126
COS,ARI T,1,20.7,0.022,0.069,0.007,120,128
COS,FLA,1,3.4,0.005,0.012,0.001,107,126
COS,FLA,2,3.3,0.005,0.011,0.001,107,126
COW,OLD,1,2.3,0.004,0.008,0.001,107,126
COW,OLD,2,2.2,0.003,0.008,0.001,107,126
COW,RAF,1,6.9,0.01,0.024,0.003,107,126
COW,WHI,1,17.8,0.027,0.062,0.006,107,126
CRA,WEX,1,21.3,0.033,0.073,0.007,72,103
CRO,IA,1,2.7,0.004,0.01,0.001,107,126
CRO,KBY,1,14.3,0.022,0.049,0.005,107,126
CSH,CLN,1,22.8,0.036,0.078,0.007,107,126
CSH,ENN,1,53.6,0.083,0.185,0.017,107,126
CSH,GAL,1,13.8,0.021,0.047,0.004,107,126
CSH,GAL,2,11.3,0.018,0.039,0.004,107,126
CSH,GAL,3,11.3,0.018,0.039,0.004,107,126
CSH,SOM T,1,44.9,0.07,0.154,0.014,107,126
CUL,DGN,1,34.3,0.053,0.116,0.016,107,126
CUL,WAT,1,12.5,0.019,0.043,0.005,107,126
CUN,MOY,1,40.7,0.063,0.14,0.013,107,126
CUN,SLI,1,20,0.031,0.069,0.006,107,126
CUS,BLK T,1,27.4,0.029,0.091,0.009,137,164
CUS,PLS,1,41.8,0.044,0.14,0.014,137,164
CVW,COW,1,17.2,0.025,0.054,0.018,107,126
CVW,KRA,1,7.6,0.012,0.026,0.004,107,126
DAL,DAL T,1,12.2,0.019,0.042,0.004,107,126
DDK,LOU,2,16.8,0.026,0.058,0.005,107,126
DDK,MLN,1,7.5,0.012,0.026,0.003,107,126
DER,KIN,1,15.1,0.012,0.05,0.005,120,128
DER,MAY ,1,43,0.027,0.139,0.018,90,95
DER,TSB,1,19.7,0.031,0.068,0.006,107,126
DFR,DFR T,1,0.1,0,0,0,107,126
DGN,KRA,1,53.7,0.084,0.185,0.017,107,126
DLT,GAL,1,55.1,0.086,0.19,0.018,107,126
DMY,MAC,1,26.2,0.041,0.091,0.008,107,126
DRM,LET,1,8,0.013,0.028,0.003,107,126
DRM,MEE,1,5,0.008,0.017,0.002,107,126
DRU,ENN,1,17.4,0.027,0.06,0.006,107,126
DRY,GOR,1,19.4,0.029,0.067,0.006,107,126
DRY,LOU,1,31.9,0.05,0.11,0.01,107,126
DRY,PLA,1,5.3,0.008,0.018,0.002,107,126
FIN,GLA,1,14,0.022,0.048,0.005,107,126
FIN,GLA,2,14.2,0.022,0.049,0.005,107,126
FIN,GRA,1,13.2,0.005,0.012,0.236,119,119
FIN,KLM,1,9.3,0.005,0.01,0.056,120,131
FIN,MCE,1,7.6,0.008,0.025,0.007,120,128
FLA,GIL,1,10.6,0.017,0.037,0.003,107,126
FLA,LA,1,30.6,0.048,0.105,0.01,107,126
FLA,SLI,1,50.5,0.079,0.174,0.016,107,126
FLA,TON,1,32.3,0.05,0.112,0.01,107,126
GCA,GRI T,1,8.9,0.009,0.029,0.006,111,143
GCA,INC,1,8.1,0.008,0.025,0.009,111,143
GCA,INC,2,7.8,0.008,0.023,0.01,111,143
GCA,NAN,1,1.8,0.001,0.002,0.011,120,120
GCA,NAN,2,1.7,0.001,0.003,0.011,120,120
GI,KKY,1,49.2,0.077,0.169,0.016,107,126
GI,WAT,1,11.7,0.008,0.039,0.004,120,128
GI,WAT,2,12.9,0.008,0.042,0.005,120,128
GI,WEX,1,34.5,0.054,0.119,0.011,107,126
GOL,GOL T,1,3.9,0.006,0.014,0.001,107,126
GOR,NAV,1,5.3,0.008,0.019,0.002,107,126
GOR,NAV,2,6.3,0.009,0.022,0.002,107,126
GOR,PLA,1,19.7,0.03,0.068,0.006,107,126
GRA,KLM,1,5.9,0.003,0.007,0.036,120,120
GRI,GRI T,1,1,0.002,0.004,0,107,126
GRI ,MAY ,1,2.2,0.003,0.009,0.001,107,126
IA,MAC,1,18.1,0.028,0.063,0.006,107,126
IKE,IKE T,1,0.2,0,0.001,0,93,131
KBY,KRA,1,11.9,0.014,0.04,0.004,107,126
KBY,KRA,2,12.5,0.018,0.043,0.004,107,126
KBY,MAL,1,29.1,0.045,0.101,0.009,72,103
KBY,MR,1,4,0.004,0.013,0.003,111,128
KBY,MR,2,4,0.004,0.013,0.003,111,128
KER,OUG T,1,22.6,0.014,0.074,0.008,187,223
KIN,DFR T,1,29.3,0.021,0.096,0.01,120,164
KLN,LIM,1,9,0.014,0.031,0.003,107,126
KLN,LIM,2,11.7,0.018,0.04,0.009,86,111
KLN,TIP,1,41,0.064,0.141,0.013,107,126
KLS,KKY,1,34.3,0.053,0.118,0.011,107,126
KRA,BAR T,1,19.4,0.02,0.065,0.007,137,164
KRA,MID,1,10.7,0.017,0.037,0.004,107,126
KTL,KTL T,1,1.3,0.002,0.005,0.001,107,126
KTN,WAT,1,3.4,0.005,0.012,0.001,107,126
KTY,LET,1,4.9,0.006,0.017,0.002,107,126
KTY,LET,2,5.3,0.007,0.018,0.002,107,126
KUR,NAV,1,6.1,0.01,0.021,0.002,107,126
LA,MUL,1,46.3,0.072,0.16,0.015,107,126
LA,RIC,1,14.7,0.023,0.05,0.007,107,126
LET,GOL T,1,38.4,0.058,0.132,0.012,107,126
LET,SBN,1,24,0.037,0.083,0.008,107,126
LET,TLK,1,34.7,0.054,0.119,0.011,107,126
LIB,MR,1,2.7,0.001,0.003,0.017,100,100
LIB,MR,2,2.7,0.002,0.003,0.017,120,120
LIM,MTN,1,7.5,0.005,0.025,0.003,137,164
LIM,RAT,1,29.1,0.044,0.101,0.012,107,126
LIS,LOU,1,40.4,0.063,0.139,0.013,107,126
LIS,SKL,1,39.3,0.061,0.135,0.013,107,126
LOU,MLN,1,13,0.02,0.045,0.004,107,126
LOU,MTH,1,15.1,0.024,0.052,0.005,107,126
LOU,RRU,1,37.5,0.058,0.129,0.012,107,126
LSN,THU,1,10.4,0.016,0.036,0.003,107,126
MAY ,BLK T,1,30.9,0.032,0.103,0.011,137,164
MAY ,GRI T,1,2.2,0.002,0.007,0.002,111,126
MAY ,KTL T,1,19.5,0.02,0.065,0.007,120,128
MAY ,RNW,1,7.1,0.008,0.024,0.002,107,126
MAY ,RYB,1,8.9,0.009,0.03,0.003,120,128
MID,WHI,1,20,0.03,0.069,0.007,107,126
MON,KTL T,1,10.1,0.011,0.034,0.004,120,128
MON,NEW,1,13.8,0.014,0.047,0.005,120,128
MOY,TAW,1,8.4,0.013,0.029,0.003,107,126
MOY,TAW,2,8.3,0.013,0.029,0.003,107,126
MP,TBK T,1,6.6,0.01,0.023,0.002,107,126
MR,TBG,1,3.3,0.004,0.005,0.044,79,79
MR,TBG,2,2.9,0.002,0.003,0.028,79,79
MTN,MUN,1,0.7,0.001,0.003,0,107,126
MTN,MUN,2,0.7,0.001,0.002,0,107,126
NEW,PLS,1,43,0.055,0.146,0.014,107,126
OUG,OUG T,1,11,0.017,0.038,0.004,107,126
PA,STR T,1,22.4,0.035,0.077,0.007,107,126
PLS,DAL T,1,54.7,0.04,0.179,0.019,72,103
RAF,RSY,1,2.1,0.003,0.007,0.001,72,103
RAF,TBG,1,9.4,0.014,0.032,0.004,107,126
RAF,TBG,2,9.2,0.014,0.032,0.004,107,126
RAT,TB,1,33.6,0.035,0.112,0.012,137,164
RNW,DFR T,1,25.9,0.02,0.085,0.009,107,126
RRU,SKL,1,14.5,0.023,0.05,0.005,107,126
SH,DAL T,1,12,0.019,0.041,0.005,72,103
SH,IKE T,1,53.7,0.056,0.179,0.018,93,131
SH,SOM T,1,13.8,0.021,0.047,0.006,107,126
SOM,SOM T,1,2,0.003,0.007,0.001,107,126
SOR,TLK,1,4.4,0.007,0.015,0.002,107,126
STR,STR T,1,2,0.003,0.007,0.001,107,126
TB,TRI,1,20.5,0.021,0.069,0.007,120,128
TB,TRL,1,42,0.063,0.147,0.014,107,126
TBK,TBK T,1,2.9,0.005,0.01,0.001,107,126
THU,IKE T,1,25.9,0.027,0.087,0.009,93,131
TRL,OUG T,1,11.3,0.007,0.037,0.004,187,223
TRL,TRI,1,21.2,0.033,0.073,0.007,107,126
