Table D?1 Maximum Export Capacities of Existing and Committed Transmission-Connected Generation,,,,,,
Area,Generation Station,Unit ID,Connected At,,Fuel Type,Maximum Export 
,,,,,,Capacity (MW)
Dublin,Dublin Bay Power,DB1,Irishtown,220 kV,Gas,415
,Huntstown ,HNC,Huntstown,220 kV,Gas,352
,Huntstown[1] ,HN2,Corduff,220 kV,Gas,403
,North Wall[2],NW4,North Wall,220 kV,Gas/DO,163
,North Wall,NW5,North Wall,220 kV,Gas/DO,109
,Poolbeg,PB1,Poolbeg,220 kV,Gas/HFO,109.5
,Poolbeg,PB2,Poolbeg,220 kV,Gas/HFO,109.5
,Poolbeg,PB3,Poolbeg,220 kV,Gas/HFO,242
,Poolbeg ,PBC,Shellybanks,220 kV,Gas/DO,460
,Turlough Hill,TH1,Turlough Hill,220 kV,Hydro,73
,Turlough Hill,TH2,Turlough Hill,220 kV,Hydro,73
,Turlough Hill,TH3,Turlough Hill,220 kV,Hydro,73
,Turlough Hill,TH4,Turlough Hill,220 kV,Hydro,73
Dublin Area Total,,,,,,2655
South-West,Aghada,AD1,Aghada,220 kV,Gas,258
,Aghada,AT1,Aghada,220 kV,Gas/DO,90
,Aghada,AT2,Aghada,220 kV,Gas/DO,90
,Aghada,AT4,Aghada,220 kV,Gas/DO,90
,Aghada PCP,AP5,Aghada,110 kV,Distillate,52
,Athea,-,Athea,110 kV,Wind,51
,Lee ,LE1,Inniscarra,110 kV,Hydro,15
,Lee ,LE2,Inniscarra,111 kV,Hydro,4
,Lee ,LE3,Carrigadrohid,110 kV,Hydro,8
,Marina,MRT,Marina,110 kV,Gas/DO,112
,Aughinish,SK3,Sealrock,110 kV,Gas,65
,Aughinish,SK4,Sealrock,110 kV,Gas,65
,Coomagearlahy,CGW,Clonkeen,110 kV,Wind,42.5
,Glanlee,-,Clonkeen,110 kV,Wind,29.8
,Coomacheo,-,Clonkeen,110 kV,Wind,41.2
,Moneypoint,-,Moneypoint,110 kV,Wind,21.9
,Moneypoint,MP2,Moneypoint,400 kV,Coal,287.5
,Pallas,-,Clahane,110 kV,Wind,37.8
,Tarbert,TB1,Tarbert,110 kV,HFO,54
,Tarbert,TB2,Tarbert,110 kV,HFO,54
,Tarbert,TB3,Tarbert,220 kV,HFO,240.7
,Tarbert,TB4,Tarbert,220 kV,HFO,240.7
South-West Area Total,,,,,,1950.1
Mid-West,Ardnacrusha,"AA1,2,3,4",Ardnacrusha,110 kV,Hydro,86
,Booltiagh,BTW,Booltiagh,110 kV,Wind,19.5
,Derrybrien,DBW,Derrybrien,110 kV,Wind,59.5
,Moneypoint,MP1,Moneypoint,400 kV,Coal,287.5
,Moneypoint,MP3,Moneypoint,400 kV,Coal,287.5
,Tynagh,TY,Tynagh,220 kV,Gas,404
Mid-West Area Total,,,,,,1144
South-East,Ballywater,BWW,Ballywater,110 kV,Wind,31.5
,Great Island,GI1,Great Island,110 kV,HFO,54
,Great Island,GI2,Great Island,110 kV,HFO,54
,Great Island,GI3,Great Island,220 kV,HFO,108
,Liffey ,LI1,Pollaphuca,110 kV,Hydro,15
,Liffey ,LI2,Pollaphuca,110 kV,Hydro,15
,Liffey ,LI4,Pollaphuca,110 kV,Hydro,4
South-East Area Total,,,,,,281.5
Midlands,Edenderry Power ,ED1,Cushaling,110 kV,Peat,121.5
,West Offaly Power,WO4,Shannonbridge,110 kV,Peat,141
,Rhode PCP,RP1,Derryiron,110 kV,Distillate,51.8
,Rhode PCP,RP2,Derryiron,110 kV,Distillate,51.8
Midlands Area Total,,,,,,366.1
North-West,Erne,ER3,Cathaleen’s Fall,110 kV,Hydro,22.5
,Erne,ER4,Cathaleen’s Fall,110 kV,Hydro,22.5
,Erne,ER1,Cliff,110 kV,Hydro,10
,Erne,ER2,Cliff,110 kV,Hydro,10
,Golagh,GOL,Golagh,110 kV,Wind,15
,Kingsmountain ,KGM,Cunghill,110 kV,Wind,23.8
,Lough Ree Power,LR4,Lanesboro,110 kV,Peat,94
,Meentycat,MCT,Meentycat,110 kV,Wind,71
,Tawnaghmore PCP ,TP1,Tawnaghmore,110 kV,Distillate,52
North-West Area Total,,,,,,320.8
North-East,Mountain Lodge,MLW,Ratrussan,110 kV,Wind,24.8
,Ratrussan,RRW,Ratrussan,110 kV,Wind,70
North-East Area Total,,,,,,94.8


[1] Huntstown 2 signed a connection agreement for an increased MEC of 412 MW in May 2007.,,,,,,
[2] North Wall unit 4 is a combined cycle gas turbine. 42 MW of the 163 MW is embedded.,,,,,,
